Date,Local Time,Home ID,Away ID
20160819,1915,101085,112670
20160819,2115,111707,110406
20160819,2115,111022,110093
20160820,1700,111715,101083
20160820,1700,111706,111711
20160820,1915,101084,101088
20160820,1915,110554,110396
20160820,2030,110395,1877
20160821,1700,110580,111710
20160821,1700,112713,110394
20160821,1915,1013,111713
20160821,1915,1876,110404
20160821,2130,111708,110392
20160822,1900,112904,110581
20160822,2115,111716,110398
20160826,1900,110394,111708
20160826,2115,110404,110406
20160826,2115,111711,110554
20160827,1700,111710,1013
20160827,1700,101083,112713
20160827,1915,110392,112904
20160827,1915,1877,111022
20160827,2030,110093,111706
20160828,1700,110396,111715
20160828,1700,110398,110395
20160828,1915,111713,101085
20160828,1915,111716,111707
20160828,2130,112670,1876
20160829,1900,110581,101084
20160829,2115,101088,110580
20160909,1900,111707,110404
20160909,2115,111708,101083
20160909,2115,111022,110398
20160910,1700,111715,111711
20160910,1700,110406,112670
20160910,1915,101084,110392
20160910,1915,111706,1877
20160910,2030,110395,111716
20160911,1700,110554,110093
20160911,1700,101085,111710
20160911,1915,1876,111713
20160911,1915,110580,110581
20160911,2130,112904,110394
20160912,1900,112713,110396
20160912,2115,1013,101088
20160916,1900,110394,101084
20160916,2115,110392,110580
20160916,2115,1877,110554
20160917,1700,101083,112904
20160917,1700,110395,111707
20160917,1915,111711,112713
20160917,1915,110093,111715
20160917,2030,111710,1876
20160918,1700,110396,111708
20160918,1700,110581,1013
20160918,1915,110398,111706
20160918,1915,111713,110406
20160918,2130,112670,110404
20160919,1900,111716,111022
20160919,2115,101088,101085
20160923,1900,111707,112670
20160923,2115,110404,111713
20160924,1700,111022,110395
20160924,1700,111715,1877
20160924,1915,110406,111710
20160924,1915,111706,111716
20160924,2030,101084,101083
20160925,1700,110554,110398
20160925,1700,101085,110581
20160925,1915,1876,101088
20160925,1915,110580,110394
20160925,2130,1013,110392
20160926,1900,112713,110093
20160926,2115,111708,111711
20160926,2115,112904,110396
20160930,1900,110394,1013
20160930,2115,110392,101085
20160930,2115,111022,111707
20161001,1700,1877,112713
20161001,1700,111710,110404
20161001,1915,101083,110580
20161001,1915,111711,112904
20161001,2030,110093,111708
20161002,1700,110395,111706
20161002,1700,110396,101084
20161002,1915,110398,111715
20161002,1915,110581,1876
20161002,2130,111713,112670
20161003,1900,111716,110554
20161003,2115,101088,110406
20161014,1900,111707,111713
20161014,2115,111708,1877
20161014,2115,101084,111711
20161015,1700,111715,111716
20161015,1700,110406,110581
20161015,1915,110404,101088
20161015,1915,111706,111022
20161015,2030,110554,110395
20161016,1700,101085,110394
20161016,1700,1876,110392
20161016,1915,1013,101083
20161016,1915,112713,110398
20161016,2130,110580,110396
20161017,1900,112670,111710
20161017,2115,112904,110093
20161021,1900,110581,110404
20161021,2115,110392,110406
20161021,2115,111022,110554
20161022,1700,1877,112904
20161022,1700,111710,111713
20161022,1915,101083,101085
20161022,1915,111706,111707
20161022,2030,111711,110580
20161023,1700,110093,101084
20161023,1700,110395,111715
20161023,1915,110396,1013
20161023,1915,110398,111708
20161023,2130,110394,1876
20161024,1900,111716,112713
20161024,2115,101088,112670
20161028,1900,111707,111710
20161028,2115,110404,110392
20161028,2115,111715,111022
20161029,1700,111708,111716
20161029,1700,110406,110394
20161029,1915,101084,1877
20161029,1915,110554,111706
20161029,2030,101085,110396
20161030,1700,1876,101083
20161030,1700,110580,110093
20161030,1915,111713,101088
20161030,1915,112713,110395
20161030,2130,1013,111711
20161031,1900,112670,110581
20161031,2115,112904,110398
20161104,1900,110394,110404
20161104,2115,111022,112713
20161105,1700,1877,110580
20161105,1700,101083,110406
20161105,1915,110392,112670
20161105,1915,111711,101085
20161105,2030,110093,1013
20161106,1700,110395,111708
20161106,1700,110396,1876
20161106,1915,101088,111710
20161106,1915,110398,101084
20161106,2130,110554,111707
20161107,1900,111716,112904
20161107,2115,111706,111715
20161107,2115,110581,111713
20161118,1900,111707,101088
20161118,2115,111708,111022
20161118,2115,110404,101083
20161119,1700,111715,110554
20161119,1700,110406,110396
20161119,1915,111710,110581
20161119,1915,101084,111716
20161119,2030,101085,110093
20161120,1700,1876,111711
20161120,1700,110580,110398
20161120,1915,1013,1877
20161120,1915,111713,110392
20161120,2130,112713,111706
20161121,1900,112670,110394
20161121,2115,112904,110395
20161125,1900,111715,111707
20161125,2115,110392,111710
20161125,2115,111706,111708
20161126,1700,110394,111713
20161126,1700,1877,101085
20161126,1915,111022,112904
20161126,1915,101083,112670
20161126,2030,111711,110406
20161127,1700,110093,1876
20161127,1700,110395,101084
20161127,1915,110396,110404
20161127,1915,110398,1013
20161127,2130,110581,101088
20161128,1900,110554,112713
20161128,2115,111716,110580
20161202,1900,111707,110581
20161202,2115,110404,111711
20161202,2115,110406,110093
20161203,1700,111708,110554
