Date,Local Time,Home ID,Away ID
20160826,2030,21,38
20160827,1530,31,110502
20160827,1530,22,169
20160827,1530,100409,175
20160827,1530,28,111239
20160828,1530,166,25
20160827,1830,23,32
20160828,1730,10029,112172
20160827,1530,1824,34
20160911,1730,169,10029
20160910,1530,32,28
20160910,1530,111239,166
20160910,1830,112172,22
20160910,1530,25,23
20160910,1530,175,31
20160909,2030,34,21
20160911,1530,38,100409
20160910,1530,110502,1824
20160916,2030,31,25
20160917,1530,21,111239
20160917,1830,23,38
20160917,1530,1824,32
20160918,1530,100409,169
20160917,1530,28,112172
20160918,1730,166,34
20160917,1530,22,110502
20160917,1530,10029,175
20160921,2000,32,100409
20160920,2000,111239,1824
20160921,2000,34,31
20160920,2000,25,28
20160921,2000,21,166
20160921,2000,112172,23
20160920,2000,110502,10029
20160921,2000,38,169
20160920,2000,175,22
20160924,1530,1824,166
20160925,1730,31,112172
20160924,1530,169,32
20160923,2030,22,25
20160924,1530,23,111239
20160925,1530,10029,34
20160924,1530,28,21
20160924,1830,38,175
20160924,1530,100409,110502
20160930,2030,111239,10029
20161001,1530,21,31
20161001,1530,166,28
20161001,1530,112172,100409
20161001,1530,25,1824
20161001,1530,110502,38
20161001,1830,175,169
20161002,1530,34,23
20161002,1730,32,22
20161014,2030,22,166
20161015,1530,31,111239
20161015,1530,169,110502
20161015,1530,1824,21
20161015,1530,100409,34
20161015,1530,38,32
20161015,1830,23,28
20161016,1530,175,112172
20161016,1730,10029,25
20161021,2030,110502,175
20161022,1530,111239,22
20161022,1530,28,1824
20161022,1530,166,31
20161022,1530,112172,38
20161022,1530,25,100409
20161022,1830,21,23
20161023,1530,32,10029
20161023,1730,34,169
20161028,2030,169,111239
20161029,1530,31,28
20161029,1530,23,1824
20161029,1530,100409,21
20161029,1530,38,25
20161029,1530,175,32
20161029,1830,22,34
20161030,1530,10029,166
20161030,1730,110502,112172
20161104,2030,111239,100409
20161105,1530,32,110502
20161105,1530,21,10029
20161105,1530,1824,31
20161105,1530,28,22
20161105,1530,25,175
20161105,1830,112172,169
20161106,1530,166,23
20161106,1730,34,38
20161118,2030,32,112172
20161119,1530,100409,166
20161119,1530,110502,111239
20161119,1530,38,1824
20161119,1530,10029,28
20161119,1530,175,34
20161119,1830,22,21
20161120,1530,23,31
20161120,1730,169,25
20161125,2030,111239,175
20161126,1530,31,100409
20161126,1530,23,10029
20161126,1530,1824,22
20161126,1530,34,110502
20161126,1530,25,112172
20161126,1830,28,38
20161127,1530,21,32
20161127,1730,166,169
20161202,2030,10029,31
20161203,1530,169,21
20161203,1530,32,25
20161203,1530,100409,1824
20161203,1530,110502,28
20161203,1530,38,111239
20161203,1830,112172,34
20161204,1530,175,166
20161204,1730,22,23
20161209,2030,166,38
20161210,1530,31,22
20161210,1530,21,175
20161210,1530,111239,112172
20161210,1530,28,100409
20161210,1530,25,110502
20161210,1830,1824,10029
20161211,1530,34,32
20161211,1730,23,169
20161216,2030,110502,21
20161217,1530,169,28
20161217,1530,32,111239
20161217,1530,100409,23
20161217,1530,34,25
20161217,1530,175,1824
20161217,1830,38,31
20161218,1530,10029,22
20161218,1730,112172,166
20161220,2000,23,175
20161220,2000,111239,25
20161220,2000,28,34
20161220,2000,10029,38
20161221,2000,31,32
20161221,2000,21,112172
20161221,2000,22,100409
20161221,2000,1824,169
20161221,2000,166,110502
20170120,2030,175,28
20170121,1530,169,31
20170121,1530,34,111239
20170121,1530,25,21
20170121,1530,110502,23
20170121,1530,38,22
20170121,1830,32,166
20170122,1530,112172,1824
20170122,1730,100409,10029
20170127,2030,32,23
20170128,1530,169,22
20170128,1530,111239,28
20170128,1530,25,166
20170128,1530,38,21
20170128,1530,175,100409
20170128,1830,34,1824
20170129,1530,112172,10029
20170129,1730,110502,31
20170203,2030,31,175
20170204,1530,22,112172
20170204,1530,23,25
20170204,1530,100409,38
20170204,1530,28,32
20170204,1530,166,111239
20170204,1830,21,34
20170205,1530,1824,110502
20170205,1730,10029,169
20170210,2030,25,31
20170211,1530,169,100409
20170211,1530,111239,21
20170211,1530,34,166
20170211,1530,112172,28
20170211,1530,110502,22
20170211,1830,32,1824
20170212,1530,38,23
20170212,1730,175,10029
20170217,2030,1824,111239
20170218,1530,169,38
20170218,1530,23,112172
20170218,1530,100409,32
20170218,1530,28,25
20170218,1530,166,21
20170218,1830,22,175
20170219,1530,10029,110502
20170219,1730,31,34
20170224,2030,175,38
20170225,1530,21,28
20170225,1530,166,1824
20170225,1530,112172,31
20170225,1530,25,22
20170225,1530,110502,100409
20170225,1830,32,169
20170226,1530,34,10029
20170226,1730,111239,23
20170303,2030,100409,112172
20170304,1530,31,21
20170304,1530,22,32
20170304,1530,1824,25
20170304,1530,38,110502
20170304,1530,10029,111239
20170304,1830,23,34
20170305,1530,169,175
20170305,1730,28,166
20170310,1530,111239,31
20170311,1530,32,38
20170311,1530,21,1824
20170311,1530,34,100409
20170311,1530,166,22
20170311,1530,112172,175
20170311,1830,28,23
20170312,1530,25,10029
20170312,1730,110502,169
20170317,2030,175,110502
20170318,1530,22,111239
20170318,1530,1824,28
20170318,1530,100409,25
20170318,1530,38,112172
20170318,1530,10029,32
20170318,1830,31,166
20170319,1530,23,21
20170319,1730,169,34
20170331,2030,21,100409
20170401,1530,1824,23
20170401,1530,28,31
20170401,1530,166,10029
20170401,1530,112172,110502
20170401,1530,25,38
20170401,1830,34,22
20170402,1530,32,175
20170402,1730,111239,169
20170404,2000,22,28
20170404,2000,23,166
20170404,2000,38,34
20170404,2000,10029,21
20170405,2000,31,1824
20170405,2000,169,112172
20170405,2000,100409,111239
20170405,2000,110502,32
20170405,2000,175,25
20170407,2030,28,10029
20170408,1530,1824,38
20170408,1530,34,175
20170408,1530,166,100409
20170408,1530,112172,32
20170408,1530,25,169
20170408,1830,21,22
20170409,1530,31,23
20170409,1730,111239,110502
20170415,1530,169,166
20170415,1530,22,1824
20170415,1530,112172,25
20170415,1530,110502,34
20170415,1530,10029,23
20170415,1830,32,21
20170416,1530,100409,31
20170416,1530,175,111239
20170416,1730,38,28
20170421,2030,166,175
20170422,1530,31,10029
20170422,1530,21,169
20170422,1530,34,112172
20170422,1530,25,32
20170422,1535,111239,38
20170422,1830,23,22
20170423,1530,28,110502
20170423,1730,1824,100409
20170428,2030,112172,111239
20170429,1530,22,31
20170429,1530,100409,28
20170429,1530,110502,25
20170429,1530,38,166
20170429,1530,10029,1824
20170429,1830,175,21
20170430,1530,169,23
20170430,1730,32,34
20170505,2030,22,10029
20170506,1530,31,38
20170506,1530,21,110502
20170506,1530,23,100409
20170506,1530,166,112172
20170506,1530,25,34
20170506,1830,28,169
20170507,1530,111239,32
20170507,1730,1824,175
20170513,1530,169,1824
20170513,1530,32,31
20170513,1530,100409,22
20170513,1530,34,28
20170513,1530,112172,21
20170513,1530,25,111239
20170513,1530,110502,166
20170513,1530,38,10029
20170513,1530,175,23
20170520,1530,31,169
20170520,1530,21,25
20170520,1530,22,38
20170520,1530,23,110502
20170520,1530,1824,112172
20170520,1530,111239,34
20170520,1530,28,175
20170520,1530,166,32
20170520,1530,10029,100409
