CompId,GroupId,TeamId1,TeamId2,TeamId3,TeamId4
CC,1,73,1,896,110886
CC,2,234,48,130015,327
CC,3,241,10,23,78
CC,4,21,240,247,110231
CC,5,315,32,18,69
CC,6,243,22,237,1871
CC,7,95,236,231,819
CC,8,45,481,66,130017
EL,1,11,326,246,110876
EL,2,280,130014,900,130080
EL,3,229,1819,169,130092
EL,4,100769,1906,130022,837
EL,5,110468,52,256,130082
EL,6,448,673,254,111974
EL,7,245,232,450,1884
EL,8,101059,1896,674,101033
EL,9,34,191,112218,72
EL,10,110374,393,100143,130103
EL,11,44,267,17,1717
EL,12,483,106000,894,112958
